index,prob,rank,percentile
123248,0.833968917,194,0.032333333
341814,0.833957429,195,0.0325
125284,0.83319442,196,0.032666667
275491,0.831298696,197,0.032833333
446498,0.831182826,198,0.033
580896,0.831135278,199,0.033166667
480250,0.830449933,200,0.033333333
337574,0.830361215,201,0.0335
523933,0.830176444,202,0.033666667
98405,0.829350889,203,0.033833333
65535,0.829243227,204,0.034
247550,0.829120224,205,0.034166667
405259,0.827747443,206,0.034333333
387100,0.827745309,207,0.0345
348354,0.827057711,208,0.034666667
410299,0.826737697,209,0.034833333
79172,0.826488589,210,0.035
327773,0.825938138,211,0.035166667
41044,0.825861455,212,0.035333333
399959,0.825274114,213,0.0355
338603,0.825101626,214,0.035666667
560429,0.824650314,215,0.035833333
19729,0.824419547,216,0.036
111709,0.824256956,217,0.036166667
90980,0.823824827,218,0.036333333
299616,0.822931066,219,0.0365
596284,0.822853046,220,0.036666667
595316,0.822832506,221,0.036833333
291747,0.822667267,222,0.037
598686,0.82211628,223,0.037166667
420198,0.82205353,224,0.037333333
70452,0.82189758,225,0.0375
495729,0.82154976,226,0.037666667
290045,0.821470053,227,0.037833333
493871,0.821127793,228,0.038
562606,0.820756949,229,0.038166667
177635,0.820373548,230,0.038333333
642,0.820315213,231,0.0385
249955,0.820185873,232,0.038666667
330617,0.819421049,233,0.038833333
400652,0.818977867,234,0.039
177013,0.818553588,235,0.039166667
158404,0.818422709,236,0.039333333
599048,0.818372538,237,0.0395
409800,0.818105389,238,0.039666667
485075,0.817665929,239,0.039833333
313189,0.8170678,240,0.04
566937,0.817021323,241,0.040166667
447092,0.816697813,242,0.040333333
276253,0.816576666,243,0.0405
275471,0.816475069,244,0.040666667
178588,0.815957214,245,0.040833333
548528,0.81594933,246,0.041
424880,0.81568826,247,0.041166667
215612,0.815132385,248,0.041333333
124087,0.814897688,249,0.0415
379449,0.814516519,250,0.041666667
210124,0.814262211,251,0.041833333
234336,0.814259583,252,0.042
192297,0.81363734,253,0.042166667
466213,0.813595582,254,0.042333333
261095,0.813391566,255,0.0425
158379,0.812077603,256,0.042666667
31460,0.812014728,257,0.042833333
221269,0.811927419,258,0.043
498193,0.810827702,259,0.043166667
218405,0.810007132,260,0.043333333
316786,0.809408524,261,0.0435
413239,0.809196324,262,0.043666667
132070,0.809106967,263,0.043833333
483936,0.807317768,264,0.044
344662,0.806615645,265,0.044166667
130310,0.805741045,266,0.044333333
170275,0.804775153,267,0.0445
366812,0.80438395,268,0.044666667
156818,0.804172257,269,0.044833333
559723,0.803687544,270,0.045
278253,0.803242449,271,0.045166667
13875,0.803189602,272,0.045333333
259475,0.802430636,273,0.0455
181668,0.802039136,274,0.045666667
345958,0.801166284,275,0.045833333
495196,0.800792562,276,0.046
395822,0.800505045,277,0.046166667
558815,0.800461457,278,0.046333333
351280,0.800080605,279,0.0465
275908,0.799536438,280,0.046666667
180007,0.799421375,281,0.046833333
336832,0.79940611,282,0.047
376630,0.798563508,283,0.047166667
242246,0.798526382,284,0.047333333
583359,0.798218344,285,0.0475
441716,0.797616895,286,0.047666667
153796,0.797433127,287,0.047833333
139953,0.797374474,288,0.048
18767,0.796688793,289,0.048166667
295427,0.796048985,290,0.048333333
408494,0.796047673,291,0.0485
326416,0.795590627,292,0.048666667
499684,0.795385192,293,0.048833333
406379,0.795286897,294,0.049
455696,0.795122426,295,0.049166667
232872,0.794744482,296,0.049333333
577608,0.794143882,297,0.0495
476070,0.793860677,298,0.049666667
283188,0.793507144,299,0.049833333
442830,0.793488793,300,0.05
442395,0.793479709,301,0.050166667
263160,0.792820959,302,0.050333333
184757,0.792804922,303,0.0505
77596,0.792764652,304,0.050666667
33610,0.792404905,305,0.050833333
207777,0.791660914,306,0.051
225403,0.791397856,307,0.051166667
289066,0.790379443,308,0.051333333
342132,0.790341398,309,0.0515
282647,0.790282369,310,0.051666667
480062,0.789815118,311,0.051833333
218331,0.789692265,312,0.052
389448,0.788732839,313,0.052166667
461418,0.788492944,314,0.052333333
29680,0.788454211,315,0.0525
499505,0.788352141,316,0.052666667
146757,0.788045774,317,0.052833333
461925,0.786816688,318,0.053
378053,0.78668523,319,0.053166667
2336,0.786471933,320,0.053333333
440841,0.786425275,321,0.0535
282817,0.784935436,322,0.053666667
545423,0.784736653,323,0.053833333
369529,0.784586489,324,0.054
116566,0.784565646,325,0.054166667
201229,0.784222465,326,0.054333333
261624,0.783861241,327,0.0545
330642,0.783549415,328,0.054666667
164918,0.783446962,329,0.054833333
556171,0.783084138,330,0.055
547711,0.782818732,331,0.055166667
222210,0.782796677,332,0.055333333
272438,0.782733201,333,0.0555
199782,0.782632171,334,0.055666667
426220,0.782440363,335,0.055833333
331148,0.782416572,336,0.056
469736,0.781635399,337,0.056166667
4242,0.781137224,338,0.056333333
327218,0.780524917,339,0.0565
538433,0.78052148,340,0.056666667
202253,0.780482468,341,0.056833333
321104,0.780053342,342,0.057
119277,0.779692767,343,0.057166667
253,0.779283266,344,0.057333333
105472,0.779233835,345,0.0575
412502,0.778758423,346,0.057666667
446340,0.778718698,347,0.057833333
251046,0.778366795,348,0.058
42486,0.778201199,349,0.058166667
170384,0.777872722,350,0.058333333
123146,0.777201856,351,0.0585
547540,0.7766836,352,0.058666667
26562,0.776592593,353,0.058833333
102967,0.776563115,354,0.059
360671,0.776400542,355,0.059166667
272658,0.776383269,356,0.059333333
107404,0.776371352,357,0.0595
126072,0.776010384,358,0.059666667
556504,0.775878624,359,0.059833333
477271,0.775767802,360,0.06
200326,0.775664222,361,0.060166667
179705,0.774977294,362,0.060333333
426092,0.774818032,363,0.0605
528188,0.774513312,364,0.060666667
146134,0.774086294,365,0.060833333
207205,0.773513002,366,0.061
130883,0.773368315,367,0.061166667
432662,0.772768524,368,0.061333333
365230,0.772564262,369,0.0615
49298,0.772562549,370,0.061666667
176514,0.772025911,371,0.061833333
65792,0.771998,372,0.062
447639,0.771160796,373,0.062166667
297396,0.770878915,374,0.062333333
366968,0.770657614,375,0.0625
329179,0.770533464,376,0.062666667
472540,0.770394422,377,0.062833333
579918,0.7701083,378,0.063
497737,0.769746386,379,0.063166667
381018,0.76956144,380,0.063333333
546008,0.768423307,381,0.0635
99790,0.768333018,382,0.063666667
517582,0.768285582,383,0.063833333
30852,0.768163997,384,0.064
306892,0.767934569,385,0.064166667
24213,0.767674927,386,0.064333333
48245,0.767353055,387,0.0645
356004,0.766925329,388,0.064666667
333869,0.766694476,389,0.064833333
144484,0.766592997,390,0.065
150868,0.766059062,391,0.065166667
427320,0.765846034,392,0.065333333
205892,0.765445379,393,0.0655
558386,0.765384285,394,0.065666667
553034,0.764563237,395,0.065833333
57318,0.764361707,396,0.066
524772,0.764340148,397,0.066166667
428262,0.764283388,398,0.066333333
506677,0.763786745,399,0.0665
99239,0.763731087,400,0.066666667
354363,0.76369635,401,0.066833333
167313,0.763617452,402,0.067
110591,0.763441115,403,0.067166667
138838,0.763376025,404,0.067333333
510361,0.762794126,405,0.0675
183278,0.762291498,406,0.067666667
465932,0.761935461,407,0.067833333
122572,0.761705719,408,0.068
115602,0.761440782,409,0.068166667
108567,0.761306467,410,0.068333333
484538,0.760964653,411,0.0685
305965,0.760754109,412,0.068666667
552363,0.760515538,413,0.068833333
126404,0.760319098,414,0.069
82660,0.76028121,415,0.069166667
405653,0.760273447,416,0.069333333
219827,0.760081294,417,0.0695
216390,0.759983221,418,0.069666667
581340,0.759785676,419,0.069833333
555682,0.759658949,420,0.07
106816,0.759314655,421,0.070166667
39936,0.759303121,422,0.070333333
431272,0.759069927,423,0.0705
469616,0.758957127,424,0.070666667
237711,0.758911336,425,0.070833333
532957,0.75887155,426,0.071
556915,0.758801048,427,0.071166667
591612,0.758529538,428,0.071333333
444777,0.757591921,429,0.0715
530988,0.757229157,430,0.071666667
232690,0.75716788,431,0.071833333
558047,0.7569041,432,0.072
406154,0.756713011,433,0.072166667
73733,0.756113548,434,0.072333333
526108,0.755852935,435,0.0725
301888,0.755639217,436,0.072666667
575389,0.75546431,437,0.072833333
475408,0.755443847,438,0.073
367237,0.755414856,439,0.073166667
264107,0.754957493,440,0.073333333
536232,0.754407948,441,0.0735
13942,0.753718856,442,0.073666667
409890,0.753711769,443,0.073833333
53684,0.753672415,444,0.074
372284,0.753550395,445,0.074166667
342857,0.753483475,446,0.074333333
477473,0.753006424,447,0.0745
100465,0.752876017,448,0.074666667
174154,0.752871952,449,0.074833333
467071,0.752148919,450,0.075
398514,0.751926437,451,0.075166667
200596,0.751906446,452,0.075333333
81731,0.751895935,453,0.0755
458718,0.751519481,454,0.075666667
438853,0.751167391,455,0.075833333
580983,0.750883454,456,0.076
59815,0.750242039,457,0.076166667
322827,0.750240058,458,0.076333333
251630,0.750184898,459,0.0765
295479,0.749930187,460,0.076666667
422159,0.749802904,461,0.076833333
117936,0.74963061,462,0.077
515338,0.749318868,463,0.077166667
227202,0.749290819,464,0.077333333
331663,0.748271374,465,0.0775
114836,0.748223033,466,0.077666667
577366,0.74787871,467,0.077833333
205845,0.747259217,468,0.078
478041,0.747194063,469,0.078166667
249167,0.746308581,470,0.078333333
209502,0.745574636,471,0.0785
63134,0.744654289,472,0.078666667
134366,0.744462839,473,0.078833333
127086,0.744070078,474,0.079
379626,0.743328941,475,0.079166667
329093,0.742018026,476,0.079333333
535643,0.741817051,477,0.0795
269369,0.741385832,478,0.079666667
581972,0.74044575,479,0.079833333
160291,0.740249825,480,0.08
540501,0.739944995,481,0.080166667
67184,0.739860709,482,0.080333333
144542,0.739666775,483,0.0805
393360,0.739582486,484,0.080666667
251348,0.739541407,485,0.080833333
404574,0.739368708,486,0.081
404424,0.739082499,487,0.081166667
396170,0.738906479,488,0.081333333
451773,0.738815637,489,0.0815
450857,0.738290834,490,0.081666667
447166,0.737684414,491,0.081833333
40983,0.737613723,492,0.082
539384,0.737481195,493,0.082166667
72354,0.737285592,494,0.082333333
402426,0.737081776,495,0.0825
531771,0.736681288,496,0.082666667
32681,0.736100483,497,0.082833333
137367,0.736096084,498,0.083
362956,0.735669647,499,0.083166667
286315,0.735642686,500,0.083333333
510728,0.735376695,501,0.0835
593855,0.734953399,502,0.083666667
155351,0.734740576,503,0.083833333
181645,0.734696379,504,0.084
315263,0.734679615,505,0.084166667
587157,0.734650588,506,0.084333333
131621,0.73463196,507,0.0845
178098,0.734417113,508,0.084666667
138887,0.734013662,509,0.084833333
525664,0.733817738,510,0.085
462222,0.733797895,511,0.085166667
158838,0.733787429,512,0.085333333
442751,0.733777987,513,0.0855
528733,0.733418437,514,0.085666667
419596,0.732992167,515,0.085833333
